Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17640;YT2442 ORGANIZADOR PARA  PINCEIS DE MAQUIAGEM GIRATORIO 360  23.7*13CM;UN;39249000;12,00;0,00;0,00;7,67;41,00;92,04;492,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17641;TRC7195 ESCORREDOR PRATOS 8 DIV. 39X13X11CM;UN;44199000;16,00;0,00;0,00;4,07;14,50;65,12;232,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17644;TRC8861 FACA DE COZINHA 6- TOPCHEF;UN;82119210;5,00;0,00;0,00;2,33;8,50;11,65;42,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17648;A882 ORGANIZADOR DE BANCADA 34*22*15.2;UN;39249000;40,00;0,00;0,00;8,95;48,00;358,00;1920,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17650;YT2575 BOX FESTA: 8 COPOS 8 PRATOS 8 TIGELAS 8 GARFOS 8 COLHERES 8 FACAS;UN;39241000;31,00;0,00;0,00;7,50;75,00;232,50;2325,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17651;TRC8863 FACA DE COZINHA 8 - TOPCHEF;UN;82119210;30,00;0,00;0,00;2,70;9,00;81,00;270,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17652;TRC8862 FACA DE COZINHA 7 - TOPCHEF;UN;82119210;29,00;0,00;0,00;2,45;8,50;71,05;246,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17653;YT2527 ORGANIZADOR DE GELADEIRA COM TAMPA E ALCA- 8 COMPARTIMENTOS;UN;39241000;63,00;0,00;0,00;9,20;49,00;579,60;3087,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17659;TRC6875 CAIXA ORGANIZADORA MULTIUSO 60X45X25CM;UN;63079090;4,00;0,00;0,00;6,38;23,00;25,52;92,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17661;TRC1045 CESTA RETAN DECOR PALHA 25.5X20X6.5CM;UN;46021900;2,00;0,00;0,00;4,49;19,00;8,98;38,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17663;TRC0874 P BANDEJAS PARA COZINHA RETANGULAR PEQUENA;UN;39241000;48,00;0,00;0,00;0,00;28,00;0,00;1344,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17664;TRC6874 CAIXA ORGANIZADORA MULTIUSO 65X50X30CM;UN;63079090;6,00;0,00;0,00;7,18;26,00;43,08;156,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17665;TRC7835 ESTILETE 15X4CM;UN;82119390;6,00;0,00;0,00;0,61;2,00;3,66;12,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17666;TRC0517 BOLSA TERMICA 22X15X16CM 5L 4 CORES;UN;42022220;52,00;0,00;0,00;10,20;36,50;530,40;1898,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17667;TRC1050 CJ 4 SACOLAS POLIESTER REUITILIZAVEL;UN;42029200;7,00;0,00;0,00;22,00;22,00;154,00;154,00
