Codigo;qtd
22441;3
22442;24
22446;2
22450;20
22455;6
22456;80
23277;6
24067;70
24907;20
25506;200
26717;24
26928;200
28718;4
28719;27
28721;1
28722;25
28724;6
28726;9
28727;1
28728;2
28729;4
28731;6
28733;1
28734;4
28737;4
28739;1
28741;25
28743;4
28745;1
28746;1
28747;1
28749;8
28754;1
28762;1
28763;28
28764;4
28767;36
28770;2
28774;4
28776;36
28777;1
28778;1
28779;4
28780;1
28781;1
28783;1
28784;1
28785;3
28786;1
28787;1
28790;1
28791;80
28793;4
28795;24
28801;35
28803;24
28806;10
28810;24
28812;24
28813;24
28814;24
28815;24
28816;24
28817;24
28818;24
28820;24
28821;24
28822;24
28824;24
28825;24
28826;24
28827;24
28830;30
28831;24
28832;24
28833;24
28836;24
28837;24
28839;24
28841;24
28842;24
28843;24
28844;24
28845;24
28848;24
28849;24
28850;24
28851;24
28852;24
28853;24
28854;48
28855;24
28856;24
28857;24
28858;24
28859;24
28862;24
28863;60
28865;70
28873;24
28874;24
28875;24
28876;24
28877;24
28878;5
28880;24
28881;24
28882;100
28883;24
28890;5
28891;5
28893;10
28894;20
28897;80
28900;35
28901;35
28905;3
28919;3
28921;1
28923;10
28924;2
28925;2
28926;1
28929;36
28930;3
28931;5
28932;50
28948;72
28978;72
28979;10
28984;60
28986;24
28987;10
28988;10
28989;25
28992;4
28995;40
28998;21
29000;5
29007;1
29009;20
29010;20
29011;35
29012;90
29013;5
29014;90
29015;35
29016;1
29034;24
29038;60
29053;23
29058;37
29064;38
29078;10
29079;80
29080;40
29088;50
29097;30
29106;72
29108;48
29109;30
29111;72
29133;12
29137;10
29140;72
29163;20
29168;30
29170;44
29172;2
29173;40
29176;52
29177;90
29178;20
29179;32
29180;1
29183;1
29187;55
29196;70
29198;24
29201;24
29205;5
29206;3
29207;1
29243;10
29245;15
29246;25
29247;10
29248;7
29331;42
29335;4
29344;130
